"id"|"title"|"unsigned_title"|"lyric"|"rhythm_id"|"composer_id"|"singer_id"|"level_id"|"melody_id"|"create_date"|"create_by"|"update_date"|"update_by"|"status"|"music_link"
"2"|"Hòn Đá Cô Đơn"|"hon da co don"|"[C]Có hòn đá cô [G]đơn xa xa. [Am]Đứng ở đó cớ [Em]sao một mình.
[F]Phải chăng đá cũng [C]thất tình. [F]Hoà niềm đau với [G]ta.
[C]Có chị gió bay [G]ngang qua. [Am]Khẽ nhẹ vuốt mát [Em]tâm hồn mình.
[F]Này cậu trai [C]thất tình. [F]Buồn làm chi hỡi [C]em?

[C]Có giọt nước rơi [G]trên mi. [Am]Khẽ nhẹ thấm xót [Em]xa trong lòng.
[F]Hình như nước cũng [C]biết rằng. [F]Nàng đã xa cách [G]ta.
[C]Ôi giọt nước đau [G]thương kia ơi. [Am]Chớ vội khóc khiến [Em]ta thêm buồn
[F]Vì ta cũng đã [C]biết rằng. [F]Nàng đã xa cách [C]ta.

[C]Khi người nỡ quay [G]lưng ra đi. [Am]Dẫu còn chút vấn [Em]vương trong lòng.
[F]Thì người yêu ơi ta [C]biết rằng. [F]Nàng đã xa cách [G]ta.
[C]Ta ôm một chút đau [G]thương thôi. [Am] Giấu thật kín mãi [Em]trong tâm hồn.
[F]Vì người yêu ơi ta [C]biết rằng. [F]Nàng sẽ quên mất [C]ta."|"3"|"23"|"23"|"2"|"1"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Published"|"http://mp3.zing.vn/bai-hat/Hon-Da-Co-Don-Tran-Vu/IWZ9AZ70.html"
"4"|"Tuổi Hồng Thơ Ngây"|"tuoi hong tho ngay"|"Tuổi hồng thơ [C]ngây dưới mái [Am]trường. Tuổi [Dm]thơ đă đi qua [G]rồi. 
Để lại trong [C]tôi 1 nỗi [Am]buồn. Nói [Dm]lên tiếng yêu lặng [G]thầm 
Anh dành cho [C]em. Hm.. Ha...

[C]Xưa chúng ta chung [Am] trường. Cùng [Dm]nhau kết hoa ước [G]hẹn,
Mà [C]sao bỗng dưng em [Am]lại. Bỏ quên [Dm]hoa quên tình [G]tôi. 
Em vội ra [C]đi trong li [Am]biệt. Tháng năm[Dm] vẫn trôi qua [G]dần.
Anh chờ tin [C]em.

Kỉ niệm trong [C]tôi đã phai [Am]mờ. Giờ [D]em bước đi theo [G]chồng,
Bỏ lại trong [C]tôi 1 bóng [Am]hình. Nói [Dm]lên yêu lặng [G]thầm 
Anh dành cho [C]em.

[C]Khi biết tin em [Am]rồi. Lòng [F]anh bỗng se thắt [Dm]lại, 
Và [Am]khi tiếng chuông giáo [C]đường. Chợt ngân [Dm]vang xe hoa dừng [G]lại. 
Em là cô [C]dâu khoác áo hồng[Am]. Sánh [Dm]vai bước đi bên chồng[G], 
Tình anh đơn [C]côi.

[C]Hãy hát khúc nhạc [Am]buồn. Cùng [F]chung tiếng ca cung [Dm]đàn, 
Còn [Am]đâu dáng em những [C]chiều. Nhẹ [Dm]đưa bước chân phù [G]du. 
Êm đềm trôi [C]qua, em theo [Am]chồng. Nhớ [Dm]sao những khi tan [G]trường. 
Tìn anh bơ [C]vơ."|"4"|"27"|"27"|"2"|"20"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Tuoi-hong-tho-ngay-Si-Nguyen-Si-Luan/IW7DAIII.html"
"5"|"Nhỏ Ơi"|"nho oi"|"Lần [Dm]đầu ta gặp [C]nhỏ , trong [Am]nắng chiều bay [Dm]bay   
Ngập [Dm]ngừng ta hỏi [C]nhỏ , nhỏ [C]bảo nhỏ không [Am]tên    
Ừh [Dm]thì nhỏ không [C]tên , bây [C]giờ quen nhé [Am]nhỏ , nhỏ [Dm]ơi   

Lần [Dm]này ta gặp [C]nhỏ , trong [Am]nắng chiều bay [Dm]bay   
Ngập [Dm]ngừng ta hỏi [C]nhỏ , nhỏ [C]bảo nhỏ chưa [Am]yêu   
Ừh [Dm]thì nhỏ chưa [C]yêu , bây [C]giờ yêu nhé [Am]nhỏ , nhỏ [Dm]ơi   
 
Lần [Dm]này nhỏ quay [C]đi , không [C]thèm nhìn ta [Am]nữa   
Giọt [Dm]sầu rơi một [C]mình , chỉ [Dm]còn ta một [C]mình , nhỏ [Dm]ơi   
 
Còn [Dm]gì đâu hỡi [C]nhỏ , trong [Am]nắng chiều phôi [Dm]phai   
Kỷ [Dm]niệm ta cùng [C]nhỏ , giờ [C]chỉ là hư [Am]vô   
Ừh [Dm]thì là hư [C]vô , xa [C]rồi vẫn nhớ [Am]hoài , nhỏ [Dm]ơi   
 
Tình [Dm]cờ ta gặp [C]nhỏ , trong [Am]nắng vàng ban [Dm]mai   
Thẹn [Dm]thùng ta hỏi [C]nhỏ , nhỏ [C]bảo khờ ghê [Am]đi   
Ừh [Dm]thì khờ ghê [C]đi , thương [C]rồi sao chẳng [Am]hiểu , nhỏ [Dm]ơi   "|"2"|"26"|"25"|"1"|"3"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Nho-Oi-Tan-Khanh/ZWZB768D.html"
"6"|"Chuyện Như Chưa Bắt Đầu"|"chuyen nhu chua bat dau"|"[Am]Mưa rơi trên nỗi đau [Em]nào lòng chợt thấy nghẹn [F]ngào vì bao khát [C]khao.
[Am]Đợi chờ làm chi nỗi [Em]đau ai ngờ, tình [F]yêu đôi ta như là [C]mơ.
[Am]Bao yêu thương đã muộn [Em]màng  vì mình quá vội [F]vàng để lòng nát [C]tan.
[Am]Vậy mà giờ sao nói [Em]ko nên lời, lệ [F]rơi trên đôi khóe [E7]mi.
Từ trong con [Am]tim  anh cứ nhớ em vô [Em]bờ. 
Tinh yêu [F]ấy cũng đã khiến anh mong [C]chờ.
[Dm]Góc phố vắng em mình [Am]anh bơ vơ, bao [B7]giấc mộng nay tan [E7]vỡ.
Thì thôi xem [Am]như chuyện tình mình chưa bắt [Em]đầu. 
Để cho [F]lòng này nhẹ [G]vơi nỗi [C]sầu.
[Dm]Như cành hoa đã [Am]thôi úa màu, mà [E7]ta giữ lại cho [Am]nhau.
[Dm]Như cành hoa đã [Am]thôi úa màu, mà [B7]ta giữ [E7]lại cho [Am]nhau."|"3"|"31"|"29"|"2"|NULL|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Chuye-n-nhu-chua-ba-t-da-u-My-Tam/IW8ECFZ8.html"
"7"|"Chờ Người Nơi Ấy"|"cho nguoi noi ay"|"[Am]Ngồi lại nhấp chén [Em]say
Lắng trong [Am]lòng mình những đắng [Em]cay 
[Am]Ngày dài thấm thoắt [Em]rơi
Muốn quên [Am]đi những [Em]phận bèo [Am]trôi.

[Am]Ngọc ngà cũng mấy [Em]phen
Lấm trong [Am]bùn hoài cũng thấy [Em]quen
[Am]Ngồi buồn ngó gót [Em]sen
Trách sao [Am]cõi đời [Em]này đỏ [Am]đen.

[ĐK:]
Chờ người nơi [F]ấy
Về đây mang [C]theo những dấu yêu
Chở che cho [Dm]nhau những [Em]đêm lạnh [Am]lùng

Chờ người đâu [F]thấy
Người còn hoài [C]xa cách xa
Một mình trong [Dm]đêm lắng [Em]nghe gió [Am]than.

* Vì lời ai [F]hứa
Một ngày dìu [C]em bước đi...
Tìm về nơi [Dm]xa phút [Em]giây yên [Am]bình.

Đầu non cuối [F]gió
Người còn là [C]mây viễn du
Để lại đằng [Dm]sau tiếng [Em]ai thở [Am]dài."|"1"|"33"|"32"|"2"|"16"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Cho-Nguoi-Noi-Ay-Uyen-Linh/ZW6UZ69O.html"
"8"|"Hà Nội Mùa Vắng Những Cơn Mưa"|"ha noi mua vang nhung con mua"|"Hà Nội mùa [B7]này vắng những cơn [Em]mưa
Cái rét đầu [Am]đông khăn em bay hiu hiu gió [Em]lạnh
Hoa sữa thôi [Am]rơi, em bên tôi một chiều tan [Em]lớp
Đường Cổ Ngư [B7]xưa chầm chậm bước ta [Em]về

Hà Nội mùa [Em]này chiều không buông [Am]nắng,
Phố [D]vắng nghiêng nghiêng cành cây [G]khô
Quán [Em]cóc liêu xiêu một câu [Am]thơ
Hồ [B7]Tây, Hồ [Am]Tây tím [G]mờ

Hà Nội mùa [Em]này lòng bao nỗi [Am]nhớ
Ta [D]nhớ đêm nào lạnh đôi [G]tay
Hơi [Em]ấm trao anh tuổi thơ [Am]ngây
Tưởng [B7]như, tưởng [B7]như còn [Em]đây"|"4"|"34"|"35"|"2"|"20"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Ha-Noi-Mua-Vang-Nhung-Con-Mua-Tuan-Ngoc/ZWZC9EF7.html"
"9"|"Bông Hồng Thủy Tinh"|"bong hong thuy tinh"|"[G] Nếu những đắm say vội [G]vã
Ta đã [G]trao nhau để rồi lãng [Em]quên
[C] Nhưng năm tháng [D]trôi
Ðể lòng mang bao vết thương khắc [Em]sâu
Vì ta đã chót [D]yêu
Tình [G]yêu xưa như vết cứa xót xa
Tim anh âm thầm đau [Em]đớn
Bụi mờ [C]quá khứ đã giăng che mờ [D]trên cây đàn đã nín [Em]câm
Tình yêu [D]đó xin gọi tên ""Bông hồng [Em]thuỷ tinh”
Ðể sỏi [C]đá quen bước chân anh từng [D]đêm trên phố khuya

[G]Xin như cơn mơ cho bông hoa sẽ mãi mãi trong [D]tim ta
[Em]Xin cho đôi tay nâng niu chớ vô tình có đánh [D]rơi
Vì tình [C]yêu kia mong manh như thuỷ tinh
Anh không muốn trong đời [C]thiếu [D]em, [C]thiếu [D]em ...
Ðể thời [G]gian ta chia xa không [D]phai nhòa
Ðể ngày [Em]mai ta sẽ mãi không [D]quên
Xin em [C]hãy giữ kỷ niệm ""[D]Bông hồng thuỷ [D]tinh"" oh oh[G]

[G]Nếu những đắm say tìm [G]đến
Khi thời [G]gian chưa xóa mờ vết [Em]thương
[C]Dù cho năm tháng [D]qua Cuộc tình chia cách xa đôi [Em]nơi
Ngày xưa ta đã [D]yêu
Dù thời [G]gian cho ai sẽ lãng quên Ai âm thầm tiếc [Em]nuối
Bụi mờ [C]quá khứ đã giăng che mờ [D]trên cây đàn đã nín [Em]câm
Tình yêu [D]đó vẫn gọi tên "" Bông hồng [Em]thuỷ tinh""
Ðể cho [C]mãi mãi vẫn ghi trong lòng [D]ta năm tháng qua"|"4"|"36"|"36"|"2"|"20"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Bong-Hong-Thuy-Tinh-Buc-Tuong/ZWZ9Z09D.html"
"10"|"Bước Chân Lẻ Loi"|"buoc chan le loi"|"Từng [Dm] ngày trên [F] phố bước [C] chân anh [Dm] lẻ loi
Giờ em đến [F] chốn mờ [C] xa nhạt bóng [F] mây
Nơi chân [Bb] trời không ngày [C] tháng
Phiêu du quên đường [F] về
Đặt [Bb] tên dấu chân [C] em trong đời [Dm] tôi

Giọt [Dm] mưa kia [F] đã xóa [C] tan bóng hình [Dm] em
Còn đây nước [F] mắt hòa [C] chung niềm nhớ [F] nhung
Trên con [Bb] đường xanh màu [C] lá đã quen dấu chân [F] người
Lẻ [Bb] loi bước chân [C] anh đi về [Dm] đâu

[Bb] Chơi vơi anh [C] bước qua nhanh con đường [F] xưa
[Bb] Nơi ta đã [C] có những ngày [A7] vui
[Bb] Bao nhiêu ân [C] ái xin trôi theo ngàn [F] mây
[Bb] Miên man câu [C] hát khẽ gọi [A7] em

Tiếng mưa [Dm] buồn thoánglạnh [C] quá cô đơn anh khóc [F] thầm
Lẻ [Bb] loi bước chân [C] anh trong chiều [Dm] mưa"|"2"|"38"|"12"|"3"|"3"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Buoc-Chan-Le-Loi-Dan-Truong/ZWZ979C8.html"
"11"|"Chia Tay Tình Đầu"|"chia tay tinh dau"|"Người yêu [Am]hỡi xin dấu lệ sầu khi chia tay [Dm]tình đầu 
Dù xa [G]cách như những ngọt ngào ta quen nhau ngày [C]nào 
Còn đâu [Dm]đó trên phố hẹn hò, còn in [Am]dấu phong kín một [C]đời 
Cười lên [Dm]đi người yêu dù lòng ta nát [E7]tan...

Tình yêu [Am]đó như phép nhiệm mầu, cho ta qua [Dm]từng ngày
Tình yêu [G]đến như sóng dịu dàng, ta yêu nhau nồng [C]nàn
Tình như [Dm]gió bay đến tình cờ, để muôn [Am]kiếp khô héo đợi [C]chờ
Người yêu [E7]ơi tình yêu ta là cơn đau cuối [Am]cùng

Lần [Dm]cuối xin dấu chua [G7]xót, để [C]trái tim bớt băng [F]giá
Rượu nhắp [Dm]trong phút chia tay, [F]sao cay [E7]đắng
Lần [Dm]cuối không nói xa [G7]cách, sợ [C]ướt đôi mắt nhung [F]nhớ
Ðường [Dm]phố trong phút chia [E7]ly cúi [Am]đầu..."|"3"|"39"|"35"|"3"|NULL|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Chia-Tay-Tinh-Dau-Tuan-Ngoc/IWZA99UI.html"
"12"|"Chiếc Lá Mùa Đông"|"chiec la mua dong"|"Mùa [Am]đông trên thung lũng [Em]xa.
như một tiếng [Am]kinh cầu.[Am]
Làm [Am]sao để ta quên [G]đi một cơn bão [C]lớn.[E7]
Anh [Dm]hỡi nếu mộng đẹp [Am]có thế thôi.
Xin [E]hãy giữ [E7]lại phút giây sau [Am]cùng.
Tình [F]yêu rồi đây sẽ [G]như cơn mộng dở [Am]dang. [E7]
Ðời [Am]em tựa như khúc [G]ca.
ru một sớm [Am]mai hồng. [Am]
Làm [Am]sao để cho bờ [G]mi đừng hoen nước [C]mắt. [E7]
Ai [Dm]nhớ đến một hạnh [Am]phúc lứa đôi.
Xin [E]hãy giữ [E7]trọn cánh chim phương [Am]trời.
Người [F]ơi đừng nên dối [G]gian cho lòng nát [Am]tan.[Am]
Ðường [C]mây giờ đây xa [G7]vắng dấu chân địa [C]đàng.
Vườn hoang tìm đâu cho [G7]thấy giấc mơ nồng [C]cháy.[E7]
Cuộc [Dm]sống mới [G7]rồi người [C]có thấy [F]vui.
Xin [F]hãy giữ [Dm]lại một [E7]chiếc lá [Am]rơi.
Thời [F]gian rồi đây sẽ [G]như con thuyền lướt [Am]trôi."|"3"|"41"|"40"|"2"|"21"|"2013-01-01"|"admin"|"2013-07-14"|"admin"|"Unpublished"|"http://mp3.zing.vn/bai-hat/Chiec-La-Mua-Dong-Luu-Bich/ZWZ9Z6Z7.html"
