"id"|"name"|"unsigned_name"|"description"|"is_composer"|"is_singer"|"is_guru"|"create_date"|"create_by"|"update_date"|"update_by"
"11"|"Đàm Vĩnh Hưng"|"dam vinh hung"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"12"|"Đan Trường"|"dan truong"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"13"|"Khắc Việt"|"khac viet"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"14"|"Hồ Ngọc Hà"|"ho ngoc ha"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"15"|"Lương Bích Hữu"|"luong bich huu"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"16"|"Hồ Quang Hiếu"|"ho quang hieu"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"17"|"Phạm Trưởng"|"pham truong"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"18"|"Bảo Thy"|"bao thy"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"19"|"Khánh Phương"|"khanh phuong"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"20"|"Đông Nhi"|"dong nhi"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"21"|"Lam Trường"|"lam truong"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"22"|"Bảo Chấn"|"bao chan"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"23"|"Trần Vũ"|"tran vu"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"25"|"Tần Khánh"|"tan khanh"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"26"|"Quang Nhật"|"quang nhat"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"27"|"Sỹ Nguyên"|"sy nguyen"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"29"|"Mỹ Tâm"|"my tam"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"31"|"Hoàng Nhã"|"hoang nha"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"32"|"Uyên Linh"|"uyen linh"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"33"|"Huy Tuấn"|"huy tuan"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"34"|"Trương Quý Hải"|"truong quy hai"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"35"|"Tuấn Ngọc"|"tuan ngoc"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"36"|"Bức Tường"|"buc tuong"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"38"|"Nguyễn Hà"|"nguyen ha"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"39"|"Nguyễn Ngọc Thiện"|"nguyen ngoc thien"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"40"|"Lưu Bích"|"luu bich"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"41"|"Nhạc ngoại lời việt"|"nhac ngoai loi viet"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"42"|"Anh Thúy"|"anh thuy"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"43"|"Tường Văn"|"tuong van"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"44"|"Nhạc ngoại"|"nhac ngoai"||"1"|NULL|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"45"|"Trịnh Công Sơn"|"trinh cong son"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"46"|"Cẩm Vân"|"cam van"||NULL|"1"|NULL|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"47"|"Nguyễn Đức Cường"|"nguyen duc cuong"||"1"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
"48"|"Mỹ Linh"|"my linh"||"0"|"1"|"0"|"2013-01-01"|"admin"|"2013-07-19"|"admin"
